model,assay,subset,mean,std
p0203_ctmc,A0A247D711_LISMN,all,0.2434714645998073,0.0042638851131755
p0203_ctmc,AICDA_HUMAN,all,0.1347172627737633,0.0148319336082497
p0203_ctmc,ARGR_ECOLI,all,0.524847035790139,0.008673405306055
p0203_ctmc,B2L11_HUMAN,all,0.2442171928340515,0.0346900607759426
p0203_ctmc,CCDB_ECOLI,all,0.2294171376654398,0.0074647877156259
p0203_ctmc,DLG4_RAT,all,0.3399196630003454,0.0076465870970253
p0203_ctmc,DN7A_SACS2,all,0.2832908466010592,0.0059545649797501
p0203_ctmc,ENVZ_ECOLI,all,-0.0040623974367156,0.0090610495540702
p0203_ctmc,ENV_HV1B9,all,0.2975560926633743,0.0126559052010179
p0203_ctmc,ERBB2_HUMAN,all,-0.0066993691255875,0.0092448112524188
p0203_ctmc,FKBP3_HUMAN,all,0.4430564605751443,0.0047781212097461
p0203_ctmc,HCP_LAMBD,all,0.4400080684964479,0.005669026171305
p0203_ctmc,IF1_ECOLI,all,0.2242641884892222,0.0050850905536369
p0203_ctmc,ILF3_HUMAN,all,0.3814055875908824,0.0064606843975097
p0203_ctmc,OTU7A_HUMAN,all,0.3891662981259031,0.0089047734826655
p0203_ctmc,PKN1_HUMAN,all,0.3788600702052177,0.0053320185162221
p0203_ctmc,RS15_GEOSE,all,0.3471332132645894,0.0091131534908367
p0203_ctmc,SBI_STAAM,all,0.515654203220506,0.0050396648510193
p0203_ctmc,SCIN_STAAR,all,0.3334601892973248,0.0050234441885163
p0203_ctmc,SOX30_HUMAN,all,0.2895111362127255,0.0057080230667609
p0203_ctmc,SQSTM_MOUSE,all,0.4096361028178101,0.0143826309240302
p0203_ctmc,SUMO1_HUMAN,all,0.336462249945334,0.0050480605199095
p0203_ctmc,TAT_HV1BR,all,0.1769478495015813,0.001492768348179
p0203_ctmc,VG08_BPP22,all,0.2900309392346826,0.0126971011778075
p0203_ctmc,VRPI_BPT7,all,0.5082354686506054,0.0040996967164899
p0203_ctmc,CP2,all,0.24705922542381545,0.015336164772626188
p0203_ctmc,CP2,naa,0.32100466531695104,0.01924976096878532
p0203_ctmc,CP2,ncaa,0.29602813472869,0.02285322043972793
p0203_ctmc,PUMA,all,0.25646978824252453,0.00615519228966076
p0203_ctmc,PUMA,naa,0.3099621134421656,0.002244679764907767
p0203_ctmc,PUMA,ncaa,0.32869272209395606,0.01571440046931645
